Kabupaten/Kota,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SD,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SMP,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SMA,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SMK,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - Perguruan Tinggi
Sambas,194,123,44,25,3
Bengkayang,121,70,25,10,4
Landak,156,85,35,9,6
Mempawah,66,55,31,11,3
Sanggau,175,104,31,16,2
Ketapang,260,144,40,23,3
Sintang,359,129,37,19,6
Kapuas Hulu,269,109,32,7,3
Sekadau,94,56,21,8,1
Melawi,161,103,22,11,1
Kayong Utara,43,37,18,5,–
Kubu Raya,127,99,62,31,8
Kota Pontianak,29,26,24,12,14
Kota Singkawang,26,20,16,6,6
Kalimantan Barat,2080,1160,438,193,60
,,,,,
Catatan,,,,,
"1  Desa pada tabel ini termasuk Unit Permukiman Transmigrasi (UPT) yang masih dibina oleh kementerian terkait dan nagari di Provinsi Sumatera Barat/ Villages in this table include Transmigration Settlement Unit which is still  fostered by the relevant ministries and the nagari in the Province of Sumatera Barat2Data provinsi tidak mencakup sebagian desa/kelurahan yang tidak berhasil dicacah karena kendala keamanan dan lainnya. Secara nasional, terdapat 152 desa/kelurahan yang tidak berhasil dicacah di Provinsi Papua, Papua Tengah, dan Papua Pegunungan/ Provincial data does not include some villages/subdistricts that were not successfully enumerated due to security and other constraints. Nationally, there are 152 villages/subdistricts that have not successfully enumerated in Papua, Papua Tengah, dan Papua Pegunungan.",,,,,
