Kabupaten/Kota,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SD,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SMP,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SMA,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SMK,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - Perguruan Tinggi
Tanah Laut,135,68,26,8,3
Kota Baru,187,75,34,8,3
Banjar,260,114,44,12,6
Barito Kuala,192,89,46,6,3
Tapin,120,31,13,3,1
Hulu Sungai Selatan,146,55,23,5,3
Hulu Sungai Tengah,163,48,19,8,3
Hulu Sungai Utara,187,61,24,5,2
Tabalong,129,70,22,9,2
Tanah Bumbu,142,73,24,18,2
Balangan,142,41,20,3,1
Kota Banjarmasin,51,45,24,18,19
Kota Banjar Baru,20,15,11,9,10
Kalimantan Selatan,1874,785,330,112,58
,,,,,
Catatan,,,,,
"1  Desa pada tabel ini termasuk Unit Permukiman Transmigrasi (UPT) yang masih dibina oleh kementerian terkait dan nagari di Provinsi Sumatera Barat/ Villages in this table include Transmigration Settlement Unit which is still  fostered by the relevant ministries and the nagari in the Province of Sumatera Barat2Data provinsi tidak mencakup sebagian desa/kelurahan yang tidak berhasil dicacah karena kendala keamanan dan lainnya. Secara nasional, terdapat 152 desa/kelurahan yang tidak berhasil dicacah di Provinsi Papua, Papua Tengah, dan Papua Pegunungan/ Provincial data does not include some villages/subdistricts that were not successfully enumerated due to security and other constraints. Nationally, there are 152 villages/subdistricts that have not successfully enumerated in Papua, Papua Tengah, dan Papua Pegunungan.",,,,,
