Kabupaten/Kota,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SD,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SMP,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SMA,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SMK,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - Perguruan Tinggi
Paser,142,74,27,9,3
Kutai Barat,173,56,25,10,1
Kutai Kartanegara,234,153,66,36,4
Kutai Timur,149,78,31,20,2
Berau,107,52,20,11,4
Penajam Paser Utara,54,33,11,8,1
Mahakam Ulu,35,16,7,1,–
Kota Balikpapan,34,32,22,20,12
Kota Samarinda,59,51,32,29,19
Kota Bontang,15,15,10,9,2
